"Id","Login","Email","Profile Name","Auth Code","Emails xml","Emails Html","Emails Extra","First Name","Middle Name","Last Name","Phone Number","Data Source"," marketer_net_po","wants_data_printed","comments","Stating Balance","Current Balance","Rate","Text Body 1","Text Body 2","Text Body 3","Variable Data 4","Variable Data 5","Variable Data 6","Variable Data 7","Variable Data 8","Variable Data 9","Address","Address2","City","State","Zip"
267,"MM267 Dave's Jackson Nissan",,"MM267 Dave's Jackson Nissan",,,,"nhamdan63@yahoo.com; jtumen@greatmailers.com; gail@greatmailers.com; rachelh@greatmailers.com","Dave's Jackson Nissan","www.preapprovalonline.com/davesjackson","Ask for Nasser ""Nas"" Hamdan","888-795-7521","seekerinc",,"yes",,,,,,,,,,,,,,"3201 West Michigan Avenue",,"Jackson","Michigan",49203
266,"BB266 Honda City",,"BB266 Honda City",,,,"crasmussen@blautogroup.com; btobino200@gmail.com; elisenstar@gmail.com","Honda City","www.autoappnow.com authorization Code: 000722HC22",,"888-279-4439","seekerinc",,"yes","-888-279-4439 	HONDA CITY 	1-708-910-8704 ",,,,,,,,,,,,,"4950 S Pulaski Rd",,"Chicago","IL",60632
265,"MM265 Toyota of Maryland ",,"MM265 Toyota of Maryland ",,,,"michaelh@toyotamd.com; gail@greatmailers.com; jtumen@greatmailers.com; rachelh@greatmailers.com; whiteoakad@verizon.net; mikem@toyotamd.com","Toyota of Southern Maryland","www.preapprovalonline.com/toyotamd",,"888-273-2493","seekerinc",,"yes",,,,,,,,,,,,,,"22500 Three Notch Road",,"Lexington Park","Maryland",20653
264,"MM264 Battlefield Ford",,"MM264 Battlefield Ford",,,,"gail@greatmailers.com; jtumen@greatmailers.com; rachelh@greatmailers.com; caroledwards@battlefieldford.com;","Battlefield Ford","www.preapprovalonline.com/battlefieldford",,"888-223-8364","seekerinc",,"yes",,,,,,,,,,,,,,"8980 Mathis Avenue",,"Manassas","Virginia",20110
263,"BB263 Payne Chevrolet",,"BB263 Payne Chevrolet",,,,"jpayne@paynechevrolet.com; wewsonya@yahoo.com; sonya@btobino.com; btobino200@gmail.com","Payne Chevrolet","www.autoappnow.com Authorization Code: 000722PCTL","Ask for Sonya Sherman","888-519-7786","seekerinc",,"yes","888-519-7786",,,,,,,,,,,,,"2807 Memorial BLVD",,"Springfield","TN",37172
262,"BB262 Monster Auto Credit MD",,"BB262 Monster Auto Credit MD",,,,"jhairat@monsterautocredit.com; ajalali@monsterautocredit.com; hhanifi@aol.com; monsterautocredit@btobcapitalllp.com; jhairat@monsterautocredit.com; ewatson@btobino.com

","The Crediplex Authorized Dealer in your area","www.autoappnow.com authorization code: 000447MACD",,"888-751-5971","seekerinc",,"yes","301-316-2666 1-888-751-5971",,,,,,,,,,,,,"4732 St Barnabus Rd.",,"Temple Hills","MD",20748
261,"MM261 Freedom Kia",,"MM261 Freedom Kia",,,,"gail@greatmailers.com; rachelh@greatmailers.com; jtumen@greatmailers.com; wvfreedomkia@yahoo.com","Freedom Kia","www.preapprovalonline.com/freedomkia",,"866-602-8709","seekerinc",,"yes",,,,,,,,,,,,,,"696 Fairmont Rd.",,"Morgantown","WV",26501
260,"MM260 Tri Star Ford McKeesport",,"MM260 Tri Star Ford McKeesport",,,,"jbowlin@tristarmotors.com; bob@tristarmotors.com; gail@greatmailers.com; rachelh@greatmailers.com; jtumen@greatmailers.com","Tri Star Ford McKeesport","www.preapprovalonline.com/tristar","Ask for Jason or Bob at Ext. 204","866-789-1446","seekerinc",,"yes",,,,,,,,,,,,,,"4201 Walnut St.",,"McKeesport","PA",15132
259,"MM259 Battlefield Automotive Ford Toyota Chevrolet Mercury",,"MM259 Battlefield Automotive Ford Toyota Chevrolet Mercury",,,,"gnrvpowell@aol.com; jtumen@greatmailers.com; gail@greatmailers.com; rachelh@greatmailers.com","Battlefield Automotive Ford Toyota Chevrolet Mercury","www.preapprovalonline.com/battlefield",,"866-579-7076","seekerinc",,"yes",,,,,,,,,,,,,,"10463 James Monroe Highway",,"Culpeper","VA",22701
258,"MM258 Dave's Adrian Dodge C J Pre Owned",,"MM258 Dave's Adrian Dodge C J Pre Owned",,,,"eric@adriandodge.com; mo@adriandodge.com; gail@greatmailers.com; jtumen@greatmailers.com; rachelh@greatmailers.com","Dave's Adrian Dodge C J Pre Owned","www.preapprovalonline.com/davespreowned",,"866-602-1757","seekerinc",,"yes",,,,,,,,,,,,,,"2703 Michigan Avenue",,"Clinton","MI",49236
